version,objetivo_origen_id,objetivo_origen,frecuencia_ejercicios,accion,categoria_destino,objetivo_destino_1,objetivo_destino_2,objetivo_destino_3,contexto,formato,confianza,estado_revision,motivo
"v2","40","Cambio de chip y desplazamiento","1","REVISAR","","","","","","","BAJA","PENDIENTE","Contiene Cambio de chip y un desplazamiento no suficientemente definido."
"v2","41","Líneas de pases interiores","2","UNIFICAR","TO","Líneas de pase interiores","","","","","ALTA","PROPUESTO","Corrección gramatical sin cambio semántico."
"v2","42","Robo y juego fuera","2","DIVIDIR","TRA","Recuperación","Juego exterior tras recuperación","","","","ALTA","PROPUESTO","Objetivo compuesto; preserva recuperación y juego exterior posterior."
"v2","45","Interceptación","15","MANTENER","TD","Interceptación","","","","","ALTA","PROPUESTO","Concepto defensivo válido y ya normalizado."
"v2","46","Cambio de orientación","7","MANTENER","TO","Cambio de orientación","","","","","ALTA","PROPUESTO","Concepto ofensivo válido y ya normalizado."
"v2","49","Ocupación racional","7","UNIFICAR","TO","Ocupación racional de espacios","","","","","ALTA","PROPUESTO","Se completa la denominación profesional sin alterar el principio."
"v2","50","Pressing tras pérdida","1","UNIFICAR","TRA","Presión tras pérdida","","","","","ALTA","PROPUESTO","Se elimina el anglicismo y se mantiene la fase transicional explícita."
"v2","51","Sacar de zona tras robo","1","UNIFICAR","TRA","Salida de zona tras recuperación","","","","","ALTA","PROPUESTO","La recuperación y la salida de la zona están explícitas en el original."
"v2","52","Movilidad","4","REVISAR","","","","","","","BAJA","PENDIENTE","Es demasiado general y puede variar entre movilidad ofensiva y sin balón."
"v2","53","Basculaciones","20","UNIFICAR","TD","Basculación defensiva","","","","","ALTA","PROPUESTO","Normalización a singular y explicitación del principio defensivo."
"v2","54","Tercer hombre","12","MANTENER","TO","Tercer hombre","","","","","ALTA","PROPUESTO","Principio ofensivo válido y ya normalizado."
"v2","55","Técnica","15","REVISAR","","","","","","","BAJA","PENDIENTE","Es un objetivo demasiado general y no debe convertirse automáticamente en Técnica general."
"v2","56","Comunicación","12","MANTENER","COG","Comunicación","","","","","ALTA","PROPUESTO","Concepto comunicativo válido y ya normalizado."
"v2","57","Balón de cara","8","UNIFICAR","TO","Juego de cara","","","","","ALTA","PROPUESTO","Los ejercicios asociados describen juego de cara como patrón ofensivo."
"v2","58","Dejar de cara","10","UNIFICAR","TO","Dejada de cara","","","","","ALTA","PROPUESTO","Normalización nominal de la acción técnica-táctica."
"v2","60","Coordinación","10","UNIFICAR","CP","Coordinación motriz","","","","","ALTA","PROPUESTO","Unificación profesional de las variantes coordinativas."
"v2","61","Trabajo coordinativo","16","UNIFICAR","CP","Coordinación motriz","","","","","ALTA","PROPUESTO","Se elimina Trabajo de y se unifica el concepto coordinativo."
"v2","62","Inicio de juego","5","MANTENER","MOD","Inicio de juego","","","","","ALTA","PROPUESTO","Concepto de modelo colectivo válido y ya normalizado."
"v2","63","Colocación","1","REVISAR","","","","","","","BAJA","PENDIENTE","No define por sí sola si se refiere a posicionamiento, técnica o estructura."
"v2","65","Pared","2","MANTENER","TO","Pared","","","","","ALTA","PROPUESTO","Acción ofensiva concreta y ya normalizada."
"v2","66","Mejora técnica del control, el pase y la conducción","2","DIVIDIR","TEC","Control","Pase","Conducción","","","ALTA","PROPUESTO","Objetivo compuesto; se conservan sus tres componentes técnicos."
"v2","67","Control orientado","1","MANTENER","TEC","Control orientado","","","","","ALTA","PROPUESTO","Acción técnica específica y ya normalizada."
"v2","68","Inicio","1","UNIFICAR","MOD","Inicio de juego","","","","","ALTA","PROPUESTO","El ejercicio asociado utiliza Inicio como inicio de juego."
"v2","69","Juego","1","REVISAR","","","","","","","BAJA","PENDIENTE","Término demasiado general para asignarle un objetivo sin interpretación."
"v2","71","Puntería","1","UNIFICAR","TEC","Precisión de finalización","","","","","MEDIA","PROPUESTO","Se expresa profesionalmente como precisión aplicada a la finalización."
"v2","72","Amplitud","7","MANTENER","TO","Amplitud","","","","","ALTA","PROPUESTO","Principio ofensivo válido y ya normalizado."
"v2","73","Aplicación de los movimientos del sistema (1-4-2-3-1)","2","REUBICAR","","","","","Sistema 1-4-2-3-1","","ALTA","PROPUESTO","Describe contexto de modelo y no un objetivo independiente."
"v2","74","Marcas y coberturas","4","DIVIDIR","TD","Marcaje","Cobertura defensiva","","","","ALTA","PROPUESTO","Objetivo compuesto; se conservan marcaje y cobertura."
"v2","76","Salir jugando","1","UNIFICAR","MOD","Salida de balón","","","","","ALTA","PROPUESTO","Se normaliza la expresión al concepto colectivo Salida de balón."
"v2","78","Ayudas","1","REVISAR","","","","","","","BAJA","PENDIENTE","Debe decidirse su alcance y su relación con Ayudas defensivas."
"v2","79","Ocupación de los carriles exteriores","1","UNIFICAR","TO","Ocupación de carriles exteriores","","","","","ALTA","PROPUESTO","Ajuste nominal sin pérdida del principio ofensivo."
"v2","80","Finalización","26","MANTENER","TEC","Finalización","","","","","ALTA","PROPUESTO","Objetivo técnico válido y ya normalizado."
"v2","81","Aplicación de la ocupación de los carriles exteriores","1","UNIFICAR","TO","Ocupación de carriles exteriores","","","","","ALTA","PROPUESTO","Se elimina Aplicación de y se conserva el objetivo táctico explícito."
"v2","82","Juego directo","3","MANTENER","TO","Juego directo","","","","","ALTA","PROPUESTO","Principio ofensivo válido y ya normalizado."
"v2","84","Despeje","6","MANTENER","TEC","Despeje","","","","","ALTA","PROPUESTO","Acción técnica específica y ya normalizada."
"v2","85","Temporización","1","UNIFICAR","TD","Temporización defensiva","","","","","ALTA","PROPUESTO","Los roles y el ejercicio asociado confirman su sentido defensivo."
"v2","86","Repliegue","2","MANTENER","TRA","Repliegue","","","","","ALTA","PROPUESTO","Principio transicional válido y ya normalizado."
"v2","87","Dividir","1","REVISAR","","","","","","","BAJA","PENDIENTE","Puede significar fijar, atraer o dividir al rival; requiere criterio técnico."
"v2","88","Desmarques","6","REVISAR","","","","","","","MEDIA","PENDIENTE","Debe decidirse su normalización y relación con Desmarque de ruptura."
"v2","90","Fuerza preventiva","2","UNIFICAR","CP","Prevención de lesiones","","","","","ALTA","PROPUESTO","Se normaliza el propósito preventivo sin conservar Trabajo o Fuerza como etiqueta."
"v2","91","Trabajo preventivo","3","UNIFICAR","CP","Prevención de lesiones","","","","","ALTA","PROPUESTO","Se elimina Trabajo de y se conserva el propósito preventivo."
"v2","92","Mejora técnica del pase","12","UNIFICAR","TEC","Pase","","","","","ALTA","PROPUESTO","La frase se reduce al objetivo técnico específico sin perder contenido."
"v2","93","Trabajo de propiocepción","11","UNIFICAR","CP","Propiocepción","","","","","ALTA","PROPUESTO","Se elimina Trabajo de y se conserva la capacidad entrenada."
"v2","94","Fuerza","1","UNIFICAR","FIS","Fuerza general","","","","","MEDIA","PROPUESTO","Se explicita que el término no especifica una manifestación concreta de fuerza."
"v2","95","Fuerza del tren superior","2","MANTENER","FIS","Fuerza del tren superior","","","","","ALTA","PROPUESTO","Capacidad física específica y ya normalizada."
"v2","96","Core","3","UNIFICAR","FIS","Fuerza del core","","","","","ALTA","PROPUESTO","Se explicita la capacidad física trabajada."
"v2","97","Trabajo de tren superior","3","UNIFICAR","FIS","Fuerza del tren superior","","","","","ALTA","PROPUESTO","Se elimina Trabajo de y se explicita la capacidad de fuerza."
"v2","98","Fuerza explosiva","1","MANTENER","FIS","Fuerza explosiva","","","","","ALTA","PROPUESTO","Capacidad física específica y ya normalizada."
"v2","99","Trabajo de fuerza explosiva","2","UNIFICAR","FIS","Fuerza explosiva","","","","","ALTA","PROPUESTO","Se elimina Trabajo de conservando la capacidad exacta."
"v2","101","Fuerza resistencia","6","MANTENER","FIS","Fuerza resistencia","","","","","ALTA","PROPUESTO","Capacidad física específica y ya normalizada."
"v2","105","Trabajo de fuerza resistencia","3","UNIFICAR","FIS","Fuerza resistencia","","","","","ALTA","PROPUESTO","Se elimina Trabajo de conservando la capacidad exacta."
"v2","109","Resistencia aeróbica","7","MANTENER","FIS","Resistencia aeróbica","","","","","ALTA","PROPUESTO","Capacidad física específica y ya normalizada."
"v2","110","Posesión","1","REVISAR","","","","","","","MEDIA","PENDIENTE","Debe decidirse si es concepto independiente o se unifica con Conservación de balón."
"v2","111","Trabajo de resistencia aeróbica","2","UNIFICAR","FIS","Resistencia aeróbica","","","","","ALTA","PROPUESTO","Se elimina Trabajo de conservando la capacidad exacta."
"v2","113","Trabajo de coordinación","1","UNIFICAR","CP","Coordinación motriz","","","","","ALTA","PROPUESTO","Se elimina Trabajo de y se unifica el concepto coordinativo."
"v2","115","Velocidad","2","MANTENER","FIS","Velocidad","","","","","ALTA","PROPUESTO","Capacidad física válida y ya normalizada."
"v2","116","Trabajo de velocidad","1","UNIFICAR","FIS","Velocidad","","","","","ALTA","PROPUESTO","Se elimina Trabajo de conservando la capacidad exacta."
"v2","119","Mejora técnica del control y el tiro","11","DIVIDIR","TEC","Control","Tiro","","","","ALTA","PROPUESTO","Objetivo compuesto; se conservan control y tiro."
"v2","122","Juego aéreo","4","REVISAR","","","","","","","MEDIA","PENDIENTE","Debe decidirse su frontera con Balón aéreo y Remate de cabeza."
"v2","123","Marcajes","7","UNIFICAR","TD","Marcaje","","","","","ALTA","PROPUESTO","Normalización a singular profesional."
"v2","124","Balón aéreo","1","REVISAR","","","","","","","BAJA","PENDIENTE","Puede representar contexto, juego aéreo o una acción técnica concreta."
"v2","128","Desmarque de ruptura","1","REVISAR","","","","","","","MEDIA","PENDIENTE","Debe confirmarse que permanece separado del objetivo general Desmarque."
"v2","130","Presión","3","MANTENER","TD","Presión","","","","","ALTA","PROPUESTO","Principio defensivo válido y ya normalizado."
"v2","131","Cambio de dirección","1","MANTENER","TEC","Cambio de dirección","","","","","ALTA","PROPUESTO","Acción técnica específica y ya normalizada."
"v2","132","Presión en campo contrario","2","REVISAR","","","","","","","MEDIA","PENDIENTE","Debe decidirse su denominación y frontera con Presión alta."
"v2","134","Robo y cambio de zona","1","DIVIDIR","TRA","Recuperación","Cambio de orientación tras recuperación","","","","ALTA","PROPUESTO","Objetivo compuesto; conserva recuperación y cambio posterior."
"v2","135","Superar línea defensiva","1","UNIFICAR","TO","Superación de línea defensiva","","","","","ALTA","PROPUESTO","Normalización nominal sin pérdida semántica."
"v2","136","Tapar pases interiores","1","UNIFICAR","TD","Cierre de líneas de pase interiores","","","","","ALTA","PROPUESTO","Equivale al principio defensivo de cerrar líneas interiores."
"v2","138","Aplicación del sistema 1-4-4-2","1","REUBICAR","","","","","Sistema 1-4-4-2","","ALTA","PROPUESTO","Describe contexto de sistema y no un objetivo independiente."
"v2","140","Asignación de marcas","1","UNIFICAR","TD","Marcaje","","","","","ALTA","PROPUESTO","La asignación concreta corresponde al objetivo defensivo Marcaje."
"v2","141","Agrupar gente","1","REVISAR","","","","","","","BAJA","PENDIENTE","Puede significar densidad, compactación o atraer rivales; requiere decisión."
"v2","142","Acumulación de gente","1","REVISAR","","","","","","","BAJA","PENDIENTE","Puede significar densidad, sobrecarga o atraer rivales; requiere decisión."
"v2","144","Escalonamiento","1","REVISAR","","","","","","","BAJA","PENDIENTE","El único uso es defensivo, mientras la propuesta disponible define Escalonamiento ofensivo."
"v2","145","Organización ofensiva","5","MANTENER","MOD","Organización ofensiva","","","","","ALTA","PROPUESTO","Concepto de organización colectiva válido y ya normalizado."
"v2","146","Transiciones","1","REVISAR","","","","","","","BAJA","PENDIENTE","Es demasiado general; debe decidirse fase, dirección y objetivo concreto."
"v2","148","Organización defensiva","4","MANTENER","MOD","Organización defensiva","","","","","ALTA","PROPUESTO","Concepto de organización colectiva válido y ya normalizado."
"v2","150","Buscar balón a la espalda de la defensa","1","UNIFICAR","TO","Ataque al espacio tras la línea defensiva","","","","","ALTA","PROPUESTO","Se sustituye la frase por el principio ofensivo equivalente."
"v2","151","Ayudas defensivas","1","REVISAR","","","","","","","MEDIA","PENDIENTE","Debe decidirse si se mantiene o se normaliza como Cobertura defensiva."
"v2","152","Defensa de centro","1","UNIFICAR","TD","Defensa de centros laterales","","","","","ALTA","PROPUESTO","El ejercicio asociado confirma la defensa de un centro lateral."
"v2","153","1 vs 1","1","REVISAR","","","","","","","BAJA","PENDIENTE","Puede ser objetivo técnico, duelo o formato; requiere decisión del entrenador."
"v2","154","Disputa","1","UNIFICAR","TEC","Duelo y disputa","","","","","MEDIA","PROPUESTO","El ejercicio asociado trabaja el duelo posicional y la disputa individual."
"v2","155","Juego real","2","REUBICAR","","","","","","Juego real","ALTA","PROPUESTO","Describe el formato del ejercicio, no un objetivo independiente."
"v2","157","Jugar por fuera","1","UNIFICAR","TO","Juego exterior","","","","","ALTA","PROPUESTO","Se normaliza la expresión al principio ofensivo Juego exterior."
"v2","159","Regate","2","MANTENER","TEC","Regate","","","","","ALTA","PROPUESTO","Acción técnica específica y ya normalizada."
"v2","160","Ataque por centro lateral","1","UNIFICAR","TO","Ataque mediante centro lateral","","","","","ALTA","PROPUESTO","Ajuste nominal profesional sin pérdida semántica."
"v2","162","Marcajes y basculaciones","2","DIVIDIR","TD","Marcaje","Basculación defensiva","","","","ALTA","PROPUESTO","Objetivo compuesto; se conservan marcaje y basculación."
"v2","163","Vigilancias","1","UNIFICAR","TD","Vigilancia defensiva","","","","","ALTA","PROPUESTO","Normalización a singular y explicitación del sentido defensivo."
"v2","164","Remate de cabeza","4","REVISAR","","","","","","","MEDIA","PENDIENTE","Debe decidirse su relación con Juego aéreo y Balón aéreo."
"v2","165","Despeje orientado","4","MANTENER","TEC","Despeje orientado","","","","","ALTA","PROPUESTO","Acción técnica específica y ya normalizada."
"v2","166","Anticipación","3","MANTENER","TD","Anticipación","","","","","ALTA","PROPUESTO","Principio defensivo válido y ya normalizado."
"v2","167","Marcas","1","UNIFICAR","TD","Marcaje","","","","","ALTA","PROPUESTO","Unificación de variante léxica con Marcaje."
"v2","169","Defensa en zona","2","UNIFICAR","MOD","Defensa zonal","","","","","ALTA","PROPUESTO","Normalización nominal del modelo defensivo."
"v2","172","Defensa combinada","1","MANTENER","MOD","Defensa combinada","","","","","ALTA","PROPUESTO","Modelo defensivo válido y ya normalizado."
"v2","173","Activación","2","MANTENER","CP","Activación","","","","","ALTA","PROPUESTO","Concepto de preparación válido y ya normalizado."
"v2","174","Asignación de tareas","1","REVISAR","","","","","","","BAJA","PENDIENTE","Describe organización o una instrucción y no permite inferir un objetivo único."
"v2","175","Velocidad de reacción","2","MANTENER","FIS","Velocidad de reacción","","","","","ALTA","PROPUESTO","Capacidad física específica y ya normalizada."
"v2","176","Trabajo de velocidad de reacción","2","UNIFICAR","FIS","Velocidad de reacción","","","","","ALTA","PROPUESTO","Se elimina Trabajo de conservando la capacidad exacta."
"v2","177","Trabajo de velocidad de desplazamiento","2","UNIFICAR","FIS","Velocidad de desplazamiento","","","","","ALTA","PROPUESTO","Se elimina Trabajo de conservando la capacidad exacta."
"v2","179","Trabajo técnico","1","UNIFICAR","TEC","Técnica general","","","","","ALTA","PROPUESTO","Se elimina Trabajo de; no implica migrar automáticamente el objetivo ambiguo Técnica."
"v2","181","Equilibrio","1","MANTENER","CP","Equilibrio","","","","","ALTA","PROPUESTO","Capacidad coordinativa válida y ya normalizada."
